Date,Open_USD,High_USD,Low_USD,Close_USD,Volume_USD,Dividends_USD,Stock Splits_USD
2015-11-06,88.30973665221752,88.91503201375622,87.8446168801926,88.08673095703125,4963165,1.24283,0.0
2015-11-09,87.87648713738056,87.97842563560404,85.93953363781672,86.21350860595703,8447078,0.0,0.0
2015-11-10,86.24536731523395,86.487481411905,85.45529312653817,86.31544494628906,4728757,0.0,0.0
2015-11-11,86.71046871922287,86.78055650484328,85.69738903212131,86.0287094116211,3310381,0.0,0.0
2015-11-12,85.824836452274,85.824836452274,84.74804504126588,84.76715850830078,4917664,0.0,0.0
2015-11-13,84.70981302052925,84.74167388364123,83.88151193515742,83.94522857666016,4826035,0.0,0.0
2015-11-16,83.97069289648076,85.43614987311128,83.97069289648076,85.19403076171875,4383577,0.0,0.0
2015-11-17,85.51897578710995,85.90126535559081,84.93916519584224,85.26411437988281,2944595,0.0,0.0
2015-11-18,85.882179906653,86.59579000351242,85.54448324008499,86.53844451904297,4340063,0.0,0.0
2015-11-19,86.78692951381993,87.76178235110243,86.65950641108628,87.12462615966797,4972266,0.0,0.0
2015-11-20,87.52603118918,88.5136161315521,87.44956716086561,88.24601745605469,5414514,0.0,0.0
2015-11-23,88.26513081536635,88.48176023887679,87.36673192506572,88.22052764892578,5374243,0.0,0.0
2015-11-24,87.70444278731192,88.78123417942929,87.48781332860781,88.30973815917969,3564454,0.0,0.0
2015-11-25,88.16320010718229,88.20142704214703,87.53240991777196,87.92745208740234,3387157,0.0,0.0
2015-11-27,87.92743420159714,88.44353331168799,87.42407740056922,88.22052764892578,1480927,0.0,0.0
2015-11-30,88.31611768239576,89.1380425435206,88.25877219544422,88.83220672607422,4754698,0.0,0.0
2015-12-01,88.93415864267584,90.09378022741838,88.93415864267584,90.01732635498047,4388075,0.0,0.0
2015-12-02,89.79430265642925,89.97270515916536,88.88317159374667,89.01060485839844,3896768,0.0,0.0
2015-12-03,89.26546561522069,89.66687380850937,88.04849872520595,88.51361846923828,6181442,0.0,0.0
2015-12-04,87.98479655407424,89.85166213845713,87.92107482709606,89.47573852539062,4781894,0.0,0.0
2015-12-07,89.30369733709858,89.46299147666656,88.44354559342277,88.91503143310547,3430252,0.0,0.0
2015-12-08,88.10585410686421,88.6028347668394,87.62799199898139,87.95931243896484,4084839,0.0,0.0
2015-12-09,87.53240585217064,89.09981180735095,86.79967720355388,87.04180145263672,4827290,0.0,0.0
2015-12-10,87.30941010885637,87.83187536948256,86.47473280434811,87.15011596679688,4416526,0.0,0.0
2015-12-11,86.1625158344395,86.29631516155212,85.32146243704487,85.74198913574219,5579155,0.0,0.0
2015-12-14,86.2134961746652,86.74233765099582,85.3915612193175,86.60852813720703,5380415,0.0,0.0
2015-12-15,87.54515744872901,88.54548478901222,87.46869341368043,87.79364776611328,4433471,0.0,0.0
2015-12-16,88.6410672790703,88.97876398081402,87.79365774314105,88.74938201904297,4545393,0.0,0.0
2015-12-17,88.78759862576872,88.88317103129252,86.85064555752992,87.13099670410156,4277617,0.0,0.0
2015-12-18,86.91435552622889,87.2647944530789,85.55084708533731,85.95225524902344,10487301,0.0,0.0
2015-12-21,86.54481996423215,86.54481996423215,85.39156455351558,86.33455657958984,5875905,0.0,0.0
2015-12-22,86.57666485772917,88.04848793987179,86.43011305480817,87.88282775878906,4459935,0.0,0.0
2015-12-23,88.11856651847633,88.76209879743321,87.99750951481484,88.271484375,5402485,0.0,0.0
2015-12-24,88.20142192471381,88.48813917447812,87.99753478062199,88.08673095703125,1563979,0.0,0.0
2015-12-28,87.76177754569274,87.9529223587686,86.99718812394829,87.67894744873047,3287996,0.0,0.0
2015-12-29,88.08674667112044,89.24000228553174,88.0548959728705,89.06159973144531,4125110,0.0,0.0
2015-12-30,88.93412971761093,89.48207946686227,88.7047580054554,88.78121185302734,3126912,0.0,0.0
2015-12-31,88.60917845656763,88.62828683219787,87.65344442245043,87.68529510498047,3621357,0.0,0.0
2016-01-04,86.3982635423462,86.63401153633512,85.53173559739743,86.62126922607422,5469952,0.0,0.0
2016-01-05,87.13736685206194,87.22019695202168,85.92039997273938,86.55755615234375,4105341,0.0,0.0
2016-01-06,85.62092102217912,86.38550012881876,85.13668284223577,86.124267578125,4509201,0.0,0.0
2016-01-07,85.18767847948654,86.02872185918176,84.37849087753692,84.6524658203125,7348987,0.0,0.0
2016-01-08,84.85634917877016,85.26412851487876,83.67123809974174,83.86875915527344,4981784,0.0,0.0
2016-01-11,83.98345408841989,85.26413771357863,83.95159831056863,84.88821411132812,5203222,0.0,0.0
